num,courseID,name,final,credit,department,compulsory
0,4312,中国近现代史纲要,考试,3,马克思主义学院,1
1,11,体育-1,考查,1,体育教学部,1
2,7929,大学英语（综合）,考试,4,文法学部,1
3,1903,高等数学(工)-1,考试,5.5,理学部,1
4,1908,线性代数(工),考试,3,理学部,1
5,72,大学物理Ⅰ-1,考试,3.5,理学部,1
6,9438,思想道德与法治,考查,3,马克思主义学院,1
7,12,体育-2,考查,1,体育教学部,1
8,7907,大学英语（高级）,考试,4,文法学部,1
9,1904,高等数学(工)-2,考试,5.5,理学部,1
10,9919,习近平新时代中国特色社会主义思想概论,考查,2,马克思主义学院,1
11,73,大学物理Ⅰ-2,考试,3.5,理学部,1
12,6457,毛泽东思想和中国特色社会主义理论体系概论,考试,3,马克思主义学院,1
13,13,体育-3,考查,1,体育教学部,1
14,3333,概率论与数理统计（工）,考试,3,理学部,1
15,14,体育-4,考查,1,体育教学部,1
16,4361,马克思主义基本原理,考试,3,马克思主义学院,1
17,7947,高级语言程序设计,考试,3.5,信息学部,1
18,10072,电路分析基础-1,考试,2,信息学部,1
19,7370,集合与图论,考试,2.5,信息学部,1
20,5686,数字逻辑Ⅰ,考试,3,信息学部,1
21,10734,模拟电子技术,考查,2,信息学部,1
22,8186,数据结构与算法,考试,3.5,信息学部,1
23,8191,代数与逻辑,考试,2,信息学部,1
24,7739,计算机组成原理,考试,3,信息学部,1
25,7359,操作系统原理,考试,3,信息学部,1
26,345,数据库原理,考试,3,信息学部,1
27,5684,计算机网络,考试,2.5,信息学部,1
28,4859,计算机系统结构Ⅱ,考试,2,信息学部,1
29,3483,人工智能导论Ⅰ,考查,2.5,信息学部,1
30,5688,编译原理Ⅰ,考试,3.5,信息学部,1
31,4868,软件工程引论,考试,2.5,信息学部,1
32,7365,高级语言程序设计课设,考查,1.5,信息学部,1
33,4964,物理实验（工）-1,考查,1,理学部,1
34,2784,军事理论,考查,2,学生处,1
35,3087,军事训练,考查,2,学生处,1
36,4746,机械工程训练A,考查,1,材制学部,1
37,4965,物理实验（工）-2,考查,1,理学部,1
38,7069,“中国特色社会主义建设”实践,考查,2,马克思主义学院,1
39,8185,数字逻辑实验,考查,1,信息学部,1
40,7375,计算机组成原理课设,考查,1.5,信息学部,1
41,2761,数据结构课设Ⅰ,考查,2,信息学部,1
42,8190,计算机硬件类综合性课程设计,考查,2,信息学部,1
43,8189,计算机软件类综合性课程设计,考查,2,信息学部,1
44,10117,计算机网络综合课设,考查,1.5,信息学部,1
45,7366,工作实习,考查,4,信息学部,1
46,8184,毕业设计(论文),考查,8,信息学部,1
47,2556,系统软件课设,考查,2,信息学部,0
48,7380,嵌入式技术课设,考查,2,信息学部,0
49,7347,3D场景建模与远程交互课设,考查,2,信息学部,0
50,8187,面向对象程序设计,考试,2.5,信息学部,0
51,5683,模式识别,考试,2,信息学部,0
52,10717,数字系统设计（双语）,考查,2,信息学部,0
53,10654,数据通信原理（双语）,考查,2,信息学部,0
54,8300,计算机图形学,考查,2,信息学部,0
55,6408,微型计算机接口技术Ⅲ,考查,2,信息学部,0
56,7383,人机交互引论,考查,2,信息学部,0
57,7391,算法设计与分析,考试,2,信息学部,0
58,5685,数字图像处理,考查,2,信息学部,0
59,4858,计算机控制原理与技术Ⅱ,考查,2,信息学部,0
60,10131,嵌入式系统设计技术,考查,2,信息学部,0
61,5698,软件质量管理与测试,考查,2,信息学部,0
62,4853,分布式系统导论（双语）,考查,2,信息学部,0
63,4846,TCP/IP协议分析及应用Ⅰ,考查,2,信息学部,0
64,5693,多媒体技术,考查,2,信息学部,0
65,1084,数字信号处理,考试,2,信息学部,0
66,10055,IPv6技术及应用,考查,2,信息学部,0
67,7350,Linux操作系统,考查,2,信息学部,0
68,3484,数据挖掘,考查,2,信息学部,0
69,7354,SOPC设计技术,考查,2,信息学部,0
70,10107,机器学习基础,考查,2,信息学部,0
71,10057,Python与数据分析,考查,2,信息学部,0
72,8193,大数据管理与分析,考查,2,信息学部,0
73,334,并行计算,考查,2,信息学部,0
74,9394,新生研讨课,考查,1,信息学部,1
75,10053,C++语言程序设计,考查,2,信息学部,1
76,7384,认识实习,考查,1,信息学部,1
77,8163,汇编语言程序设计,考查,2,信息学部,1
78,10663,学术写作课程,考查,1,信息学部,1
79,10719,学术前沿课程,考查,1,信息学部,1
