courseID,name,pre
4312,中国近现代史纲要,
11,体育-1,
7929,大学英语（综合）,
1903,高等数学(工)-1,
1908,线性代数(工),
72,大学物理Ⅰ-1,"0001903,0001908"
9438,思想道德与法治,
12,体育-2,0000011
7907,大学英语（高级）,0007929
1904,高等数学(工)-2,0001903
9919,习近平新时代中国特色社会主义思想概论,
73,大学物理Ⅰ-2,0000072
6457,毛泽东思想和中国特色社会主义理论体系概论,
13,体育-3,0000012
3333,概率论与数理统计（工）,0001903
14,体育-4,0000013
4361,马克思主义基本原理,
7947,高级语言程序设计,
10072,电路分析基础-1,"0001904,000072,0001908"
7370,集合与图论,"0001904,0001908"
5686,数字逻辑Ⅰ,0010734
10734,模拟电子技术,0010072
8186,数据结构与算法,"0007947,0007370"
8191,代数与逻辑,"0001904,0001908,0007370"
7739,计算机组成原理,"0005686,0005686"
7359,操作系统原理,"0007947,0008186,0007739"
345,数据库原理,"0007370,0008186,0008191"
5684,计算机网络,"0007947,0005686"
4859,计算机系统结构Ⅱ,"0005686,0007739"
3483,人工智能导论Ⅰ,"0007370,0007947,0008186,0008191"
5688,编译原理Ⅰ,"0007947,0008186"
4868,软件工程引论,"0007947,0008186,0003333"
7365,高级语言程序设计课设,0007947
4964,物理实验（工）-1,0000072
2784,军事理论,
3087,军事训练,
4746,机械工程训练A,
4965,物理实验（工）-2,0000073
7069,“中国特色社会主义建设”实践,
8185,数字逻辑实验,0005686
7375,计算机组成原理课设,0007739
2761,数据结构课设Ⅰ,0008186
8190,计算机硬件类综合性课程设计,"0007947,0008186,0007739,0002761"
8189,计算机软件类综合性课程设计,"0007947,0008186,0000345"
10117,计算机网络综合课设,0005684
7366,工作实习,
8184,毕业设计(论文),
2556,系统软件课设,0007359
7380,嵌入式技术课设,"0008185,0007947,0007739"
7347,3D场景建模与远程交互课设,
8187,面向对象程序设计,0007947
5683,模式识别,"0001904,0001908,0003333"
10717,数字系统设计（双语）,"0005658,0010072"
10654,数据通信原理（双语）,0000073
8300,计算机图形学,"0001904,0008186,0007947"
6408,微型计算机接口技术Ⅲ,"0005686,0007739"
7383,人机交互引论,0007947
7391,算法设计与分析,"0007947,0008186,0008191"
5685,数字图像处理,"0001904,0001908,0007947,0008186"
4858,计算机控制原理与技术Ⅱ,"0005686,0007739,0006408"
10131,嵌入式系统设计技术,"0007947,0007739"
5698,软件质量管理与测试,"0007947,0008186,0000345"
4853,分布式系统导论（双语）,"0007359,0005684"
4846,TCP/IP协议分析及应用Ⅰ,0005684
5693,多媒体技术,"0007947,0008186,0007739,0004859"
1084,数字信号处理,"0001904,0001908,0003333"
10055,IPv6技术及应用,0005684
7350,Linux操作系统,0007359
3484,数据挖掘,"0007947,0003333,0008186,0000345"
7354,SOPC设计技术,0007739
10107,机器学习基础,"0001904,0001908,0007947"
10057,Python与数据分析,"0007947,0008186"
8193,大数据管理与分析,"0008186,0000345"
334,并行计算,"0007947,0007359,0005684,0004859"
9394,新生研讨课,
10053,C++语言程序设计,0007947
7384,认识实习,
8163,汇编语言程序设计,0007739
10663,学术写作课程,
10719,学术前沿课程,
