courseID,name,pre
4312,中国近现代史纲要,
11,体育-1,
7929,大学英语（综合）,
1903,高等数学(工)-1,
1908,线性代数(工),
72,大学物理Ⅰ-1,19030001908
9438,思想道德与法治,
12,体育-2,11
7907,大学英语（高级）,7929
1904,高等数学(工)-2,1903
9919,习近平新时代中国特色社会主义思想概论,
73,大学物理Ⅰ-2,72
6457,毛泽东思想和中国特色社会主义理论体系概论,
13,体育-3,12
3333,概率论与数理统计（工）,1903
14,体育-4,13
4361,马克思主义基本原理,
7947,高级语言程序设计,
10072,电路分析基础-1,"19,040,001,908"
7370,集合与图论,"19,040,001,908"
5686,数字逻辑Ⅰ,10734
10734,模拟电子技术,10072
8186,数据结构与算法,"79,470,007,370"
8191,代数与逻辑,"19,040,007,370"
7739,计算机组成原理,56860005686
7359,操作系统原理,7.95E+17
345,数据库原理,7.37E+17
5684,计算机网络,79470005686
4859,计算机系统结构Ⅱ,56860007739
3483,人工智能导论Ⅰ,7.37E+24
5688,编译原理Ⅰ,79470008186
4868,软件工程引论,7.95E+17
7365,高级语言程序设计课设,7947
4964,物理实验（工）-1,72
2784,军事理论,
3087,军事训练,
4746,机械工程训练A,
4965,物理实验（工）-2,73
7069,“中国特色社会主义建设”实践,
8185,数字逻辑实验,5686
7375,计算机组成原理课设,7739
2761,数据结构课设Ⅰ,8186
8190,计算机硬件类综合性课程设计,7.95E+24
8189,计算机软件类综合性课程设计,7.95E+17
10117,计算机网络综合课设,5684
7366,工作实习,
8184,毕业设计(论文),
2556,系统软件课设,7359
7380,嵌入式技术课设,8.19E+17
7347,3D场景建模与远程交互课设,
8187,面向对象程序设计,7947
5683,模式识别,1.90E+17
10717,数字系统设计（双语）,56580010072
10654,数据通信原理（双语）,73
8300,计算机图形学,1.90E+17
6408,微型计算机接口技术Ⅲ,56860007739
7383,人机交互引论,7947
7391,算法设计与分析,7.95E+17
5685,数字图像处理,1.90E+24
4858,计算机控制原理与技术Ⅱ,5.69E+17
10131,嵌入式系统设计技术,79470007739
5698,软件质量管理与测试,7.95E+17
4853,分布式系统导论（双语）,73590005684
4846,TCP/IP协议分析及应用Ⅰ,5684
5693,多媒体技术,7.95E+24
1084,数字信号处理,1.90E+17
10055,IPv6技术及应用,5684
7350,Linux操作系统,7359
3484,数据挖掘,7.95E+24
7354,SOPC设计技术,7739
10107,机器学习基础,1.90E+17
10057,Python与数据分析,79470008186
8193,大数据管理与分析,81860000345
334,并行计算,7.95E+24
9394,新生研讨课,
10053,C++语言程序设计,7947
7384,认识实习,
8163,汇编语言程序设计,7739
10663,学术写作课程,
10719,学术前沿课程,
